network,node,tier,truth,surrogate,tabular_gbt,tabular_gbt_l1,tabular_ridge,topology_heuristic,sole_source_reach,downstream_reach
shift_3,41,3,0,0.0299916,0,0,0.00409072,3.02381,1,5
shift_3,42,3,0,0.0299752,0,0,0.010087,0.780044,0,4
shift_3,43,3,0.194151,0.029997,0,0,0.00616569,4.27978,1,7
shift_3,44,3,0.189555,0.0299898,0,0,0.00425009,3.4846,1,5
shift_3,45,3,0,0.0299912,0,0,0.0139304,3.6341,1,6
shift_4,0,0,0,0.0300493,0,0,0.0254416,1.9471,0,6
shift_4,1,0,0,0.0300493,0,0,0.0733515,2.16185,0,8
shift_4,2,0,0,0.0300493,0,0,0,1.02835,0,5
shift_4,3,0,0.00377814,0.0300493,0,0,0.0545536,4.6887,4,8
shift_4,4,0,0,0.0300493,0,0,0,0,0,0
shift_4,5,0,0,0.0300493,0,0,0,0,0,0
shift_4,6,0,0,0.0300493,0,0,0,0,0,0
shift_4,7,0,0,0.0300493,0,0,0.0750673,5.11677,4,8
shift_4,8,0,0,0.0300493,0,0,0,1.21255,0,6
shift_4,9,0,0,0.0300493,0.0108057,0,0.0573605,1.89452,0,8
shift_4,10,0,0,0.0300493,0,0,0.0509158,2.19695,0,8
shift_4,11,0,0.155402,0.0300493,0,0,0.0517503,4.49981,4,8
shift_4,12,0,0,0.0300493,0.201677,0,0.0125997,1.09476,0,5
shift_4,13,0,0,0.0300493,0,0,0.0852564,2.87866,0,8
shift_4,14,0,0.00267394,0.0300493,0,0,0.116172,4.99944,4,8
shift_4,15,0,0,0.0300493,0,0,0.0891224,4.91004,4,8
shift_4,16,1,0,0.0300493,0.0125586,0,0,1.20179,0,5
shift_4,17,1,0,0.0300493,0,0,0.0098514,0.944121,0,5
shift_4,18,1,0,0.0300493,0.21642,0,0,0.0959673,0,0
shift_4,19,1,0.294808,0.0300492,0,0,0.0832425,5.39921,4,8
shift_4,20,1,0,0.0300492,0,0,0.0547904,2.26047,0,6
shift_4,21,1,0,0.0300493,0,0,0.00384686,1.54779,0,6
shift_4,22,1,0,0.0300493,0,0,0.00235591,1.10756,0,5
shift_4,23,1,0,0.0300493,0,0,0.00756927,1.36517,0,5
shift_4,24,1,0,0.0300493,0,0,0.0129368,1.33822,0,6
shift_4,25,1,0.0123614,0.0300493,0.019336,0,0.0731135,4.44486,4,8
shift_4,26,1,0,0.0300493,0,0,0.0124842,2.08975,0,6
shift_4,27,1,0,0.0300492,0,0,0.0215931,1.85869,0,6
shift_4,28,1,0.40602,0.0300493,0,0,0.0711461,4.69583,4,8
shift_4,29,1,0,0.0300493,0,0,0,1.13187,0,6
shift_4,30,2,0.726636,0.0301072,0,0,0.0771722,5.00155,4,8
shift_4,31,2,0,0.0300493,0.194625,0,0,0.774616,0,4
shift_4,32,2,0,0.0300493,0.21642,0,0,0,0,0
shift_4,33,2,0,0.0300492,0,0,0.0391471,2.2794,0,6
shift_4,34,2,0,0.0300495,0,0,0.00890257,1.92907,1,5
shift_4,35,2,0,0.0300493,0,0,0,0,0,0
shift_4,36,2,0.0448431,0.0300523,0,0,0.0484905,1.8707,0,6
shift_4,37,2,0,0.0300493,0,0,0,0,0,0
shift_4,38,2,0,0.0300499,0,0,0.0168163,1.95532,0,6
shift_4,39,2,0,0.0300493,0,0,0,0,0,0
shift_4,40,3,0,0.0300524,0.185269,0,0.0242511,0.941605,0,6
shift_4,41,3,0.0225687,0.0300507,0,0,0.00399111,1.55374,0,5
shift_4,42,3,0,0.0300534,0.18672,0,0,1.4194,1,3
